question,answer
How do I store groundnuts safely? (11),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #11)"
What causes yellow leaves on maize? (11),Yellowing may be due to nitrogen deficiency or water logging. (Advice #11)
How to control aphids on beans? (11),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #11)
Where can I get certified seeds? (11),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #11)
How do I prevent post-harvest loss? (11),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #11)"
What is the benefit of crop rotation? (11),It prevents soil nutrient depletion and controls pests and diseases. (Advice #11)
Can I grow tomatoes in dry season? (11),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #11)"
How much water does okra need? (11),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #11)
What are the best crops to grow in South Sudan during the rainy season? (12),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #12)"
How can I improve soil fertility? (12),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #12)"
What fertilizer is good for maize? (12),DAP at planting and UREA during top dressing stage work well for maize. (Advice #12)
How do I protect my crops from armyworms? (12),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #12)"
When is the best time to plant sorghum? (12),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #12)"
Which crops need little water? (12),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #12)"
How can I get market for my vegetables? (12),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #12)
How do I store groundnuts safely? (12),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #12)"
What causes yellow leaves on maize? (12),Yellowing may be due to nitrogen deficiency or water logging. (Advice #12)
How to control aphids on beans? (12),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #12)
Where can I get certified seeds? (12),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #12)
How do I prevent post-harvest loss? (12),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #12)"
What is the benefit of crop rotation? (12),It prevents soil nutrient depletion and controls pests and diseases. (Advice #12)
Can I grow tomatoes in dry season? (12),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #12)"
How much water does okra need? (12),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #12)
What are the best crops to grow in South Sudan during the rainy season? (13),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #13)"
How can I improve soil fertility? (13),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #13)"
What fertilizer is good for maize? (13),DAP at planting and UREA during top dressing stage work well for maize. (Advice #13)
How do I protect my crops from armyworms? (13),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #13)"
When is the best time to plant sorghum? (13),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #13)"
Which crops need little water? (13),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #13)"
How can I get market for my vegetables? (13),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #13)
How do I store groundnuts safely? (13),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #13)"
What causes yellow leaves on maize? (13),Yellowing may be due to nitrogen deficiency or water logging. (Advice #13)
How to control aphids on beans? (13),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #13)
Where can I get certified seeds? (13),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #13)
How do I prevent post-harvest loss? (13),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #13)"
What is the benefit of crop rotation? (13),It prevents soil nutrient depletion and controls pests and diseases. (Advice #13)
Can I grow tomatoes in dry season? (13),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #13)"
How much water does okra need? (13),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #13)
What are the best crops to grow in South Sudan during the rainy season? (14),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #14)"
How can I improve soil fertility? (14),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #14)"
What fertilizer is good for maize? (14),DAP at planting and UREA during top dressing stage work well for maize. (Advice #14)
How do I protect my crops from armyworms? (14),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #14)"
When is the best time to plant sorghum? (14),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #14)"
Which crops need little water? (14),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #14)"
How can I get market for my vegetables? (14),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #14)
How do I store groundnuts safely? (14),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #14)"
What causes yellow leaves on maize? (14),Yellowing may be due to nitrogen deficiency or water logging. (Advice #14)
How to control aphids on beans? (14),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #14)
Where can I get certified seeds? (14),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #14)
How do I prevent post-harvest loss? (14),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #14)"
What is the benefit of crop rotation? (14),It prevents soil nutrient depletion and controls pests and diseases. (Advice #14)
Can I grow tomatoes in dry season? (14),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #14)"
How much water does okra need? (14),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #14)
What are the best crops to grow in South Sudan during the rainy season? (15),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #15)"
How can I improve soil fertility? (15),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #15)"
What fertilizer is good for maize? (15),DAP at planting and UREA during top dressing stage work well for maize. (Advice #15)
How do I protect my crops from armyworms? (15),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #15)"
When is the best time to plant sorghum? (15),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #15)"
Which crops need little water? (15),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #15)"
How can I get market for my vegetables? (15),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #15)
How do I store groundnuts safely? (15),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #15)"
What causes yellow leaves on maize? (15),Yellowing may be due to nitrogen deficiency or water logging. (Advice #15)
How to control aphids on beans? (15),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #15)
Where can I get certified seeds? (15),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #15)
How do I prevent post-harvest loss? (15),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #15)"
What is the benefit of crop rotation? (15),It prevents soil nutrient depletion and controls pests and diseases. (Advice #15)
Can I grow tomatoes in dry season? (15),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #15)"
How much water does okra need? (15),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #15)
What are the best crops to grow in South Sudan during the rainy season? (16),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #16)"
How can I improve soil fertility? (16),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #16)"
What fertilizer is good for maize? (16),DAP at planting and UREA during top dressing stage work well for maize. (Advice #16)
How do I protect my crops from armyworms? (16),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #16)"
When is the best time to plant sorghum? (16),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #16)"
Which crops need little water? (16),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #16)"
How can I get market for my vegetables? (16),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #16)
How do I store groundnuts safely? (16),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #16)"
What causes yellow leaves on maize? (16),Yellowing may be due to nitrogen deficiency or water logging. (Advice #16)
How to control aphids on beans? (16),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #16)
Where can I get certified seeds? (16),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #16)
How do I prevent post-harvest loss? (16),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #16)"
What is the benefit of crop rotation? (16),It prevents soil nutrient depletion and controls pests and diseases. (Advice #16)
Can I grow tomatoes in dry season? (16),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #16)"
How much water does okra need? (16),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #16)
What are the best crops to grow in South Sudan during the rainy season? (17),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #17)"
How can I improve soil fertility? (17),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #17)"
What fertilizer is good for maize? (17),DAP at planting and UREA during top dressing stage work well for maize. (Advice #17)
How do I protect my crops from armyworms? (17),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #17)"
When is the best time to plant sorghum? (17),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #17)"
Which crops need little water? (17),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #17)"
How can I get market for my vegetables? (17),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #17)
How do I store groundnuts safely? (17),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #17)"
What causes yellow leaves on maize? (17),Yellowing may be due to nitrogen deficiency or water logging. (Advice #17)
How to control aphids on beans? (17),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #17)
Where can I get certified seeds? (17),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #17)
How do I prevent post-harvest loss? (17),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #17)"
What is the benefit of crop rotation? (17),It prevents soil nutrient depletion and controls pests and diseases. (Advice #17)
Can I grow tomatoes in dry season? (17),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #17)"
How much water does okra need? (17),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #17)
What are the best crops to grow in South Sudan during the rainy season? (18),"Maize, sorghum, groundnuts, and sesame are good crops for the rainy season in South Sudan. (Advice #18)"
How can I improve soil fertility? (18),"Use organic compost, rotate crops, and apply animal manure for better soil health. (Advice #18)"
What fertilizer is good for maize? (18),DAP at planting and UREA during top dressing stage work well for maize. (Advice #18)
How do I protect my crops from armyworms? (18),"Use neem-based pesticides, early planting, and regular field inspection to control armyworms. (Advice #18)"
When is the best time to plant sorghum? (18),"Start planting sorghum at the beginning of the rainy season, around May to June. (Advice #18)"
Which crops need little water? (18),"Cowpeas, millet, and cassava need less water and survive dry spells better. (Advice #18)"
How can I get market for my vegetables? (18),Join local farmer cooperatives and attend weekly town markets to find buyers. (Advice #18)
How do I store groundnuts safely? (18),"Dry the pods well and store them in clean, dry sacks away from moisture. (Advice #18)"
What causes yellow leaves on maize? (18),Yellowing may be due to nitrogen deficiency or water logging. (Advice #18)
How to control aphids on beans? (18),Use neem spray or mix soapy water and spray directly on the aphids. (Advice #18)
Where can I get certified seeds? (18),You can get certified seeds from agro-dealers in Juba or through NGOs like FAO or CRS. (Advice #18)
How do I prevent post-harvest loss? (18),"Harvest early in the day, dry crops thoroughly, and store in airtight containers. (Advice #18)"
What is the benefit of crop rotation? (18),It prevents soil nutrient depletion and controls pests and diseases. (Advice #18)
Can I grow tomatoes in dry season? (18),"Yes, with irrigation and mulching to conserve moisture, tomatoes can be grown off-season. (Advice #18)"
How much water does okra need? (18),Okra needs watering 2–3 times a week depending on soil type and weather. (Advice #18)
